Prompt_ID,Date,AI_Tool,Category,Prompt_Length,Response_Time,Rating,Success,Time_Spent
1,2026-10-08,Copilot,Web Development,81,3.52,5,Yes,42
2,2026-08-02,Claude,Data Science,368,3.78,2,No,37
3,2026-09-06,Copilot,Data Science,396,2.82,5,Yes,41
4,2026-08-02,Gemini,Web Development,173,3.51,2,Yes,31
5,2026-07-14,Gemini,SQL,98,3.34,5,Yes,59
6,2026-07-21,Claude,Data Science,128,4.6,3,Yes,37
7,2026-08-17,ChatGPT,Python,54,1.18,3,Yes,8
8,2026-07-20,Gemini,Python,82,2.12,3,Yes,26
9,2026-07-08,Perplexity,NLP,180,4.8,3,Yes,6
10,2026-07-07,Gemini,Machine Learning,173,4.56,1,Yes,14
11,2026-09-05,Gemini,Data Science,86,2.82,3,Yes,9
12,2026-07-17,ChatGPT,SQL,68,3.48,4,Yes,14
13,2026-08-02,Copilot,Web Development,138,2.11,4,Yes,37
14,2026-08-17,Gemini,Web Development,210,1.75,1,Yes,58
15,2026-09-14,Claude,SQL,71,2.85,3,Yes,42
16,2026-08-28,Copilot,Computer Vision,215,2.41,3,No,17
17,2026-09-24,Perplexity,Deep Learning,252,3.33,3,Yes,35
18,2026-07-22,ChatGPT,Machine Learning,151,1.31,5,Yes,51
19,2026-07-30,Perplexity,Web Development,162,4.9,2,No,40
20,2026-08-07,Copilot,Data Science,192,4.94,5,Yes,49
21,2026-08-20,Copilot,Machine Learning,244,3.79,2,Yes,28
22,2026-08-23,Copilot,Data Science,250,3.14,3,Yes,56
23,2026-07-08,Perplexity,Computer Vision,264,2.24,3,Yes,19
24,2026-07-27,Copilot,Python,360,4.26,5,Yes,33
25,2026-07-27,Perplexity,Machine Learning,175,3.74,5,No,12
26,2026-10-06,Copilot,NLP,268,1.65,2,Yes,9
27,2026-07-21,Claude,Web Development,105,4.64,4,Yes,33
28,2026-07-30,Copilot,Machine Learning,38,4.29,2,Yes,51
29,2026-10-05,Perplexity,Machine Learning,103,4.8,5,Yes,8
30,2026-07-28,Gemini,Machine Learning,282,3.9,5,Yes,16
31,2026-09-02,Copilot,Deep Learning,259,3.45,1,Yes,49
32,2026-10-05,Gemini,Machine Learning,36,2.67,5,Yes,6
33,2026-09-07,Claude,Data Science,203,4.73,1,Yes,31
34,2026-08-30,ChatGPT,Python,170,4.46,4,Yes,35
35,2026-08-17,Claude,Computer Vision,197,1.18,2,Yes,55
36,2026-07-19,Copilot,SQL,199,1.11,2,Yes,55
37,2026-07-04,Gemini,Machine Learning,312,2.51,1,Yes,40
38,2026-08-04,Gemini,Web Development,151,4.24,2,Yes,40
39,2026-09-02,Perplexity,Machine Learning,223,4.95,5,Yes,30
40,2026-08-18,Gemini,Web Development,34,1.6,3,Yes,47
41,2026-07-17,Perplexity,Data Science,58,3.38,1,Yes,31
42,2026-08-13,ChatGPT,Web Development,194,2.52,2,Yes,9
43,2026-09-30,Copilot,NLP,368,4.88,1,Yes,24
44,2026-07-30,Perplexity,SQL,165,4.37,1,Yes,15
45,2026-10-01,ChatGPT,Python,394,4.35,3,Yes,14
46,2026-08-15,Gemini,Web Development,350,2.87,5,No,44
47,2026-07-06,Gemini,Web Development,371,2.66,1,Yes,42
48,2026-10-07,ChatGPT,Python,174,2.09,2,Yes,10
49,2026-08-06,Gemini,SQL,356,1.23,4,Yes,12
50,2026-07-24,ChatGPT,Machine Learning,246,4.46,1,Yes,27
51,2026-10-01,Perplexity,Web Development,330,4.25,1,Yes,51
52,2026-08-15,Perplexity,Python,161,5.0,3,Yes,30
53,2026-08-22,ChatGPT,NLP,321,4.99,5,Yes,50
54,2026-10-03,Perplexity,NLP,99,3.22,4,Yes,47
55,2026-10-07,Perplexity,Data Science,281,4.08,2,Yes,16
56,2026-08-29,Perplexity,Python,304,4.78,4,No,30
57,2026-10-05,Claude,Data Science,393,4.4,2,Yes,17
58,2026-09-01,Copilot,NLP,211,1.99,5,No,44
59,2026-09-23,Gemini,SQL,196,2.8,2,Yes,22
60,2026-08-01,Claude,Machine Learning,120,1.52,3,Yes,29
61,2026-09-25,Perplexity,Python,231,4.82,3,No,37
62,2026-08-02,ChatGPT,Computer Vision,375,3.42,3,Yes,51
63,2026-09-05,Perplexity,NLP,48,1.91,3,Yes,44
64,2026-07-18,Copilot,NLP,68,3.69,4,Yes,47
65,2026-07-25,Perplexity,Computer Vision,155,3.47,5,Yes,16
66,2026-10-03,ChatGPT,Deep Learning,202,2.43,2,Yes,48
67,2026-08-23,Copilot,NLP,170,1.45,2,Yes,40
68,2026-08-27,Perplexity,Web Development,271,3.69,3,Yes,52
69,2026-09-05,Copilot,SQL,249,3.08,3,Yes,8
70,2026-08-15,Gemini,Python,155,4.09,1,Yes,9
71,2026-07-24,Gemini,Computer Vision,87,3.08,5,Yes,41
72,2026-08-01,Perplexity,Web Development,177,4.41,4,Yes,12
73,2026-08-16,Copilot,Computer Vision,346,3.21,2,Yes,46
74,2026-09-24,ChatGPT,Python,390,3.24,1,Yes,53
75,2026-07-23,Perplexity,Data Science,30,4.51,1,Yes,32
76,2026-09-04,Gemini,Python,377,2.61,2,Yes,35
77,2026-07-27,Gemini,Deep Learning,219,1.54,4,Yes,13
78,2026-07-02,Perplexity,Python,220,1.12,1,Yes,58
79,2026-09-28,Copilot,Python,398,4.02,1,Yes,55
80,2026-07-17,Gemini,Deep Learning,341,3.48,5,Yes,33
81,2026-08-02,Copilot,SQL,146,3.82,4,Yes,18
82,2026-07-09,Gemini,NLP,163,1.85,1,Yes,44
83,2026-08-12,Gemini,Python,87,1.55,4,Yes,45
84,2026-08-17,Claude,Deep Learning,73,1.06,2,Yes,26
85,2026-08-08,Gemini,Web Development,202,2.4,3,Yes,15
86,2026-10-01,ChatGPT,Data Science,189,3.36,1,Yes,27
87,2026-08-11,Perplexity,Data Science,202,2.57,5,Yes,5
88,2026-07-26,Perplexity,Python,346,2.75,2,Yes,50
89,2026-10-07,Copilot,SQL,332,4.62,4,No,41
90,2026-08-19,Gemini,SQL,178,2.39,2,Yes,25
91,2026-07-25,ChatGPT,Web Development,109,3.06,1,Yes,30
92,2026-07-24,Copilot,Python,242,4.13,4,No,50
93,2026-07-13,Claude,Data Science,232,2.59,3,Yes,40
94,2026-08-29,Copilot,SQL,281,3.49,2,Yes,58
95,2026-07-07,Copilot,Python,258,4.45,1,Yes,27
96,2026-08-26,Gemini,Computer Vision,193,4.8,5,Yes,5
97,2026-08-05,Claude,SQL,256,1.59,4,Yes,58
98,2026-08-14,Copilot,Deep Learning,176,4.71,2,Yes,59
99,2026-07-20,ChatGPT,Computer Vision,49,2.97,2,Yes,55
100,2026-09-03,ChatGPT,NLP,76,2.03,3,Yes,44
